"datetime","Measured_Temperature"
2023-12-09 14:40:15,23.25 °C
2023-12-09 14:40:16,23.24 °C
2023-12-09 14:40:17,23.23 °C
2023-12-09 14:40:18,23.22 °C
2023-12-09 14:40:19,23.21 °C
2023-12-09 14:40:20,23.19 °C
2023-12-09 14:40:21,23.18 °C
2023-12-09 14:40:22,23.17 °C
2023-12-09 14:40:23,23.16 °C
2023-12-09 14:40:24,23.14 °C
2023-12-09 14:40:25,23.13 °C
2023-12-09 14:40:26,23.12 °C
2023-12-09 14:40:27,23.11 °C
2023-12-09 14:40:28,23.09 °C
2023-12-09 14:40:29,23.08 °C
2023-12-09 14:40:30,23.07 °C
2023-12-09 14:40:31,23.06 °C
2023-12-09 14:40:32,23.04 °C
2023-12-09 14:40:33,23.03 °C
2023-12-09 14:40:34,23.02 °C
2023-12-09 14:40:35,23.01 °C
2023-12-09 14:40:36,22.99 °C
2023-12-09 14:40:37,22.98 °C
2023-12-09 14:40:38,22.97 °C
2023-12-09 14:40:39,22.96 °C
2023-12-09 14:40:40,22.94 °C
2023-12-09 14:40:41,22.93 °C
2023-12-09 14:40:42,22.92 °C
2023-12-09 14:40:43,22.91 °C
2023-12-09 14:40:44,22.89 °C
2023-12-09 14:40:45,22.91 °C
2023-12-09 14:40:46,22.90 °C
2023-12-09 14:40:47,22.91 °C
2023-12-09 14:40:48,22.90 °C
2023-12-09 14:40:49,22.91 °C
2023-12-09 14:40:50,22.90 °C
2023-12-09 14:40:51,22.91 °C
2023-12-09 14:40:52,22.90 °C
2023-12-09 14:40:53,22.91 °C
2023-12-09 14:40:54,22.90 °C
2023-12-09 14:40:55,22.91 °C
2023-12-09 14:40:56,22.90 °C
2023-12-09 14:40:57,22.91 °C
2023-12-09 14:40:58,22.90 °C

